aX,aY,aZ,gX,gY,gZ
0.212,-0.976,-0.079,-18.677,-8.85,16.235
0.233,-0.995,-0.073,-16.357,-6.042,16.968
0.227,-1.017,-0.075,-11.78,1.953,17.029
0.185,-0.986,-0.057,-7.263,7.568,16.357
0.118,-0.933,-0.053,-8.606,2.319,13.367
0.068,-0.941,-0.009,-12.207,-6.775,10.376
0.085,-0.974,-0.031,-8.057,-19.775,19.104
0.095,-0.975,-0.027,-8.85,-24.353,23.56
0.173,-1.042,-0.051,-9.644,-26.794,22.461
0.185,-1.06,-0.071,-7.935,-23.254,17.822
0.152,-1.041,-0.08,-9.766,-17.639,3.784
0.169,-0.985,-0.07,-8.911,-16.602,-7.812
0.141,-1.017,-0.04,-9.827,-13.062,-14.526
0.138,-1.008,-0.037,-7.202,-16.113,-15.076

-0.175,-0.927,0.275,-5.188,-16.235,4.883
-0.244,-0.946,0.246,10.193,-5.737,0.549
-0.3,-1.016,0.168,10.376,-4.7,4.883
-0.264,-1.027,0.098,1.099,-4.7,14.282
-0.179,-0.977,0.091,-7.935,-4.517,12.207
-0.173,-0.957,0.101,-20.813,-6.592,5.188
-0.204,-0.871,0.161,-24.963,-8.057,2.808
-0.236,-0.846,0.181,-21.667,-5.981,3.723
-0.29,-0.884,0.15,-11.963,0.977,4.822
-0.311,-0.908,0.124,-11.963,3.662,8.972
-0.301,-0.972,0.108,-21.545,-0.671,15.259
-0.244,-0.985,0.167,-28.564,-6.165,17.151
-0.24,-0.942,0.229,-26.978,-9.644,8.85
-0.311,-0.948,0.178,-16.174,-2.441,3.662
-0.346,-0.933,0.035,-11.23,5.371,8.423
-0.337,-0.927,0.0,-17.212,6.226,14.893
-0.289,-0.953,0.105,-37.109,-8.789,22.583
-0.241,-0.977,0.235,-36.621,-10.681,21.484
-0.226,-0.958,0.253,-13.184,-2.136,10.742
-0.304,-0.943,0.121,-0.549,8.545,4.333
-0.355,-0.945,0.052,-13.306,-4.089,13.733
-0.306,-0.984,0.168,-22.705,-15.564,21.362
-0.219,-1.031,0.294,-15.32,-19.165,21.057
-0.208,-1.009,0.32,-2.808,-17.334,13.794
-0.263,-1.028,0.195,19.653,-4.944,-2.014
-0.356,-0.993,0.011,27.039,14.282,-8.606
-0.401,-0.925,-0.158,5.371,14.648,-0.854
-0.408,-0.902,-0.059,-27.161,0.671,10.559
-0.282,-0.982,0.283,-50.903,-22.827,22.4
-0.2,-1.048,0.438,-36.926,-28.992,14.038

-0.126,-1.002,0.006,-16.418,-9.949,-1.465
-0.162,-1.029,0.019,-19.653,-10.132,-1.709
-0.164,-0.972,0.024,-27.405,-13.184,0.732
-0.155,-0.948,0.091,-31.311,-19.714,3.54
-0.14,-0.972,0.178,-20.447,-26.306,6.226
-0.163,-1.041,0.15,0.549,-16.418,4.578
-0.154,-1.056,-0.036,11.23,-7.263,6.47
-0.166,-1.059,-0.089,2.258,-7.324,8.545
-0.175,-1.069,-0.006,-16.113,-19.165,7.69
-0.164,-1.054,0.081,-16.296,-20.935,6.042
-0.172,-1.055,0.077,-3.54,-13.367,6.409
-0.16,-1.051,0.015,3.113,-9.094,6.287
-0.146,-1.045,-0.035,0.183,-8.179,4.639
-0.168,-1.004,-0.048,-5.066,-6.531,2.258
-0.177,-0.962,0.022,-13.55,-11.719,5.127
-0.147,-0.965,0.083,-11.475,-13.062,5.981
-0.163,-0.997,0.019,5.798,0.427,1.892
-0.151,-0.975,-0.069,8.057,6.897,-0.732
-0.178,-0.902,-0.111,-5.92,4.15,-1.587
-0.197,-0.901,-0.038,-17.456,0.916,1.038
-0.151,-0.936,0.104,-19.104,-0.244,4.7
-0.135,-0.979,0.147,-9.583,-0.549,3.906
-0.111,-1.0,0.064,2.502,5.981,-3.845
-0.148,-0.967,-0.024,-0.305,5.859,-7.751
-0.178,-0.928,0.012,-15.198,-0.122,-8.667
-0.179,-0.923,0.062,-20.508,-4.15,-7.507
-0.181,-0.915,0.148,-17.517,-5.005,-5.249
-0.193,-0.95,0.163,-11.414,-3.784,-2.93
-0.191,-1.018,0.074,-1.038,6.592,2.38
-0.146,-0.986,0.008,-5.798,8.789,3.967
