aX,aY,aZ,gX,gY,gZ
-0.923,-0.015,-0.317,-24.231,-2.258,-7.935
-0.926,0.006,-0.317,-23.071,-1.038,-9.338
-0.938,0.011,-0.315,-22.461,-2.258,-9.583
-0.948,0.003,-0.335,-22.766,-3.723,-9.155
-0.93,-0.001,-0.316,-22.705,-3.296,-9.583
-0.945,0.013,-0.337,-21.423,-5.249,-8.789
-0.938,0.005,-0.315,-22.156,-2.502,-8.85
-0.951,-0.004,-0.312,-21.301,-3.479,-8.423
-0.952,0.004,-0.304,-20.325,-4.944,-7.812
-0.921,0.018,-0.327,-21.118,-3.784,-6.409

0.348,-0.013,-0.88,-3.113,-6.226,-7.69
0.336,-0.005,-0.91,-4.333,-7.019,-6.958
0.341,0.006,-0.904,-6.714,-6.104,-6.775
0.341,-0.004,-0.899,-8.118,-5.371,-7.141
0.296,-0.016,-0.891,-7.751,-2.197,-6.104
0.294,-0.02,-0.879,-8.24,-4.333,-4.028
0.297,-0.016,-0.87,-5.432,-15.686,0.793
0.329,-0.009,-0.873,-4.089,-24.963,3.174
0.371,-0.005,-0.896,-5.493,-22.949,2.441
0.382,-0.015,-0.892,-6.104,-19.958,1.16
0.352,-0.01,-0.873,-9.033,-10.01,-2.014
0.347,-0.024,-0.83,-9.888,-9.644,-0.122
0.301,-0.018,-0.861,-2.991,-12.634,-1.587
0.322,-0.023,-0.88,-1.343,-18.677,-0.244
0.369,-0.011,-0.888,-1.343,-20.081,-1.404
0.374,-0.021,-0.894,-2.014,-18.372,-3.357
0.33,-0.03,-0.921,-5.554,-12.207,-4.089
0.341,-0.031,-0.875,-5.127,-12.939,-3.052
0.324,-0.057,-0.866,-3.052,-12.451,-3.845
0.325,-0.049,-0.882,-1.709,-16.479,-3.418
0.303,-0.049,-0.901,-2.197,-19.592,-3.235
0.32,-0.063,-0.9,-2.441,-25.33,-2.747
0.337,-0.067,-0.901,-4.7,-23.254,-2.808
0.346,-0.068,-0.916,-6.042,-20.386,-4.883
0.306,-0.049,-0.902,-6.958,-15.991,-4.822
0.291,-0.066,-0.882,-7.507,-19.226,-3.54
0.309,-0.059,-0.87,-6.775,-19.836,-2.93
0.316,-0.067,-0.881,-4.944,-20.264,-5.249
0.32,-0.053,-0.904,-6.775,-17.212,-5.981
0.305,-0.049,-0.899,-8.85,-14.709,-6.042

0.262,0.043,-0.93,-8.606,-8.972,-8.24
0.254,0.034,-0.924,-9.888,-4.639,-9.216
0.246,0.042,-0.921,-10.803,-4.883,-10.742
0.227,0.035,-0.908,-9.399,-5.493,-10.986
0.213,0.045,-0.894,-7.935,-6.775,-9.583
0.223,0.056,-0.912,-4.211,-12.756,-8.545
0.217,0.042,-0.931,-3.357,-13.55,-7.507
0.252,0.042,-0.939,-3.54,-15.015,-8.057
0.25,0.039,-0.962,-4.395,-13.855,-9.888
0.229,0.044,-0.94,-7.629,-7.141,-12.451
0.22,0.044,-0.923,-9.583,-5.737,-11.902
0.206,0.026,-0.892,-6.836,-10.376,-11.902
0.202,0.028,-0.893,-4.944,-12.573,-11.23
0.2,0.034,-0.929,-4.639,-13.55,-10.071
0.207,0.035,-0.924,-5.31,-12.146,-9.46
0.208,0.033,-0.929,-7.202,-11.108,-10.864
0.21,0.05,-0.903,-7.202,-9.46,-12.146
0.205,0.043,-0.939,-8.24,-5.615,-11.841
0.191,0.028,-0.914,-8.057,-6.592,-10.803
0.179,0.027,-0.912,-5.737,-6.653,-10.62
0.169,0.038,-0.901,-6.653,-6.958,-9.46
0.187,0.051,-0.9,-6.409,-9.338,-9.949
0.207,0.038,-0.907,-6.836,-8.85,-10.559
0.205,0.023,-0.895,-6.592,-5.92,-10.681
0.195,0.026,-0.934,-6.775,-2.991,-11.536
0.182,0.021,-0.906,-6.531,-4.517,-10.376
0.208,0.035,-0.915,-4.761,-5.92,-9.583
0.197,0.042,-0.922,-5.432,-5.493,-10.01
0.211,0.023,-0.924,-6.042,-4.028,-10.376
0.214,0.017,-0.929,-5.798,-4.272,-11.78
