aX,aY,aZ,gX,gY,gZ
-0.161,-1.035,-1.108,15.93,-115.967,-216.125
-0.757,-0.681,-1.416,2.014,-73.975,-209.778
-1.938,0.357,-1.746,-57.434,-53.284,-116.089
-2.746,1.042,-1.807,-93.384,-40.039,-26.55
-3.235,1.788,-1.206,-86.609,68.481,99.67
-2.659,1.256,-0.824,-40.283,149.658,156.067
-0.986,0.194,0.009,-24.902,203.796,233.398
-0.097,-0.255,0.38,-47.974,165.344,251.526
0.436,-0.52,0.766,-78.796,104.675,272.095
1.176,-0.727,1.295,-59.021,94.116,262.268
3.146,-1.287,2.06,44.678,138.733,149.353
4.6,-1.647,2.327,102.661,151.428,47.363
5.315,-2.003,1.832,84.839,10.193,-40.283
4.906,-1.949,1.489,24.78,-136.047,-57.434
3.896,-1.838,1.146,-25.513,-254.456,-102.234
2.387,-1.69,0.45,-23.376,-271.667,-143.372
1.284,-1.658,-0.258,2.869,-170.288,-241.15
0.252,-1.363,-0.802,-6.714,-136.047,-258.179
-0.308,-0.891,-0.891,-25.757,-95.093,-250.854
-1.29,-0.075,-1.091,-47.18,-88.501,-205.444
-2.005,0.659,-1.127,-90.942,-75.5,-103.516
-3.35,1.733,-1.156,-82.092,0.488,-39.612
-3.45,1.917,-1.104,-37.598,73.914,54.382
-2.283,1.182,-0.362,-13.916,163.696,175.781
-1.065,0.549,0.24,-11.169,169.922,228.455
-0.016,-0.199,0.487,-36.804,123.596,264.954
0.224,-0.438,0.649,-68.97,68.054,292.786
1.288,-0.81,1.273,-26.855,80.139,269.531
2.744,-1.409,1.702,43.762,134.155,192.871

-3.971,2.888,0.829,-70.801,5.493,17.944
-3.327,2.352,1.064,-72.693,-60.608,126.282
-1.593,0.861,0.804,-62.5,-143.494,237.549
-0.462,-0.156,0.934,-85.632,-231.201,257.996
1.143,-1.425,0.549,-37.72,-225.525,226.929
2.622,-2.23,0.069,-4.028,-221.68,186.462
4.544,-2.839,-0.326,27.222,-177.246,60.608
5.003,-2.819,-0.771,49.988,-138.245,-41.443
4.978,-2.51,-1.463,38.147,-78.552,-142.395
4.132,-2.001,-1.841,19.531,-20.752,-229.431
1.884,-0.651,-2.009,4.822,109.558,-287.17
0.854,-0.077,-1.988,30.945,186.035,-272.766
0.004,0.392,-1.515,24.414,238.281,-207.581
-0.825,0.896,-0.981,-16.968,209.412,-185.608
-2.716,2.289,-0.151,-88.745,113.342,-131.348
-3.993,3.115,0.766,-124.329,46.326,-49.866
-3.769,2.512,1.303,-77.209,-15.93,159.79
-2.425,1.125,1.057,-60.852,-56.458,257.874
-0.256,-0.541,1.059,-87.341,-179.565,289.856
0.191,-0.877,1.116,-100.342,-231.323,254.211
1.892,-1.978,0.483,-6.775,-205.627,217.59
3.506,-2.737,-0.219,21.851,-198.608,166.687
4.602,-2.897,-0.365,21.973,-164.734,12.024
5.03,-2.731,-1.158,34.973,-129.333,-82.581
4.521,-2.174,-1.444,-0.061,-48.828,-183.96
2.665,-0.884,-1.825,2.502,28.198,-229.065
1.593,-0.266,-2.078,32.227,154.48,-221.313
0.981,0.054,-2.081,45.105,194.885,-169.556
0.443,0.271,-1.783,2.991,216.492,-164.612
-0.483,0.604,-0.695,-32.898,189.636,-148.438
