aX,aY,aZ,gX,gY,gZ
-0.185,0.120,0.990,-17.700,-8.972,-4.578
-0.191,0.122,0.992,-15.869,-9.399,-5.371
-0.191,0.120,0.999,-17.395,-10.132,-4.578
-0.187,0.109,0.999,-17.395,-10.071,-3.235
-0.180,0.111,1.001,-16.479,-9.521,-3.113
-0.177,0.114,1.008,-17.395,-8.179,-3.723
-0.175,0.113,1.009,-18.494,-9.521,-2.930
-0.171,0.119,1.011,-18.005,-8.728,-2.869
-0.178,0.115,1.010,-16.113,-7.385,-3.479
-0.181,0.111,1.022,-18.372,-7.629,-5.737
-0.188,0.106,1.013,-17.517,-7.263,-5.005
-0.198,0.109,1.008,-15.747,-6.714,-3.784
-0.190,0.108,1.000,-15.991,-8.362,-4.089
-0.193,0.104,1.005,-15.991,-7.568,-5.310
-0.193,0.101,1.015,-17.700,-7.141,-6.165
-0.223,0.118,1.031,-17.334,-6.348,-5.554
-0.224,0.112,1.039,-17.700,-6.531,-3.784
-0.216,0.100,1.012,-14.648,-6.470,-2.075
-0.207,0.099,1.016,-14.282,-5.493,-1.770
-0.195,0.097,1.002,-15.442,-3.723,-1.892

0.312,0.550,-1.708,-74.707,-47.852,4.150
0.320,0.504,-1.784,-87.830,-50.110,1.038
0.369,0.463,-1.918,-99.792,-55.908,-1.099
0.527,0.382,-2.335,-135.315,-93.506,-8.423
0.589,0.223,-2.514,-135.376,-108.582,-6.226
0.618,-0.019,-2.845,-187.317,-148.071,-11.780
0.620,-0.162,-2.911,-221.741,-169.983,-19.409
0.595,-0.345,-2.579,-307.861,-171.448,-46.753
0.562,-0.456,-2.106,-388.306,-123.718,-89.722
0.548,-0.474,-1.844,-419.678,-91.003,-118.164
0.352,-0.529,-1.214,-464.600,-43.335,-150.208
0.327,-0.601,-0.910,-480.225,-41.565,-153.809
0.378,-0.755,-0.371,-503.235,-57.556,-158.508
0.393,-0.806,-0.065,-510.437,-69.641,-161.499
0.300,-1.005,0.473,-506.897,-102.295,-163.635
0.333,-1.300,0.816,-493.835,-142.639,-144.592
0.480,-1.444,1.051,-493.103,-151.428,-137.329
0.719,-1.500,1.893,-495.056,-129.456,-146.179
0.640,-1.519,2.264,-482.849,-106.323,-160.889
0.306,-1.435,2.716,-445.190,-73.608,-182.312
0.232,-1.417,2.772,-421.021,-78.491,-176.208
0.254,-1.387,2.706,-370.300,-101.807,-159.607
0.208,-1.308,2.664,-355.652,-105.286,-160.583
-0.278,-1.075,2.661,-330.078,-113.708,-169.922
-0.643,-0.793,2.724,-301.208,-58.044,-150.208
-0.735,-0.667,2.634,-268.860,-107.178,-157.532
-0.903,-0.475,2.662,-241.028,-47.363,-134.399
-0.950,-0.368,2.702,-217.285,-34.973,-129.395
-1.175,-0.245,2.706,-179.321,-24.475,-109.802
-1.170,-0.277,2.645,-149.963,-37.659,-85.938
-0.882,-0.130,2.415,-98.694,-64.026,-30.334
-0.755,-0.079,2.298,-78.308,-76.233,-14.343
-0.531,0.021,2.009,-41.321,-87.341,0.305
-0.473,0.029,1.844,-27.832,-88.196,1.343
-0.401,0.008,1.508,-12.695,-85.815,-8.728
-0.412,0.036,1.396,-12.024,-72.754,-10.498
-0.519,0.030,1.237,-17.517,-47.302,-19.531
-0.595,0.047,1.196,-20.691,-38.635,-22.583
-0.634,0.060,1.188,-25.452,-30.212,-18.188
-0.615,0.082,1.188,-27.771,-30.090,-15.259
-0.583,0.070,1.156,-25.452,-30.701,-10.803
-0.562,0.076,1.138,-26.855,-29.358,-8.423
-0.516,0.073,1.126,-28.992,-26.733,-4.944
-0.515,0.070,1.134,-30.884,-21.912,-5.798
-0.491,0.075,1.151,-34.729,-11.047,-8.118
-0.486,0.058,1.182,-35.034,-7.935,-8.667
-0.497,0.043,1.189,-34.363,-6.775,-6.531
-0.501,0.047,1.220,-34.607,-6.836,-4.761
-0.500,0.065,1.237,-33.020,-7.263,-1.587
-0.463,0.078,1.247,-27.283,-5.432,2.747
-0.437,0.086,1.229,-24.475,-4.456,2.930
-0.391,0.098,1.194,-18.066,0.610,7.690
-0.345,0.101,1.178,-15.320,1.892,9.155
-0.312,0.094,1.153,-12.695,2.014,8.972
-0.254,0.089,1.087,-9.705,1.465,9.644
-0.245,0.082,1.061,-10.559,0.793,8.667
-0.235,0.088,1.045,-9.216,1.648,8.118
-0.238,0.083,1.031,-12.024,4.150,5.371
-0.242,0.084,1.036,-11.780,4.517,5.310
-0.212,0.096,1.045,-13.733,7.324,4.761
-0.213,0.099,1.036,-12.268,9.033,4.944
-0.207,0.105,1.011,-12.085,7.080,2.441
-0.202,0.106,1.006,-9.521,7.507,4.211
-0.196,0.102,1.002,-10.864,6.409,2.197
-0.208,0.100,0.996,-8.667,5.615,1.526
-0.243,0.080,0.960,-8.789,5.798,-1.099
-0.243,0.078,0.938,-8.240,7.202,-0.610
-0.252,0.083,0.912,-14.587,6.836,1.160
-0.219,0.103,0.915,-15.625,4.272,2.991
-0.206,0.100,0.920,-16.663,1.648,2.319
-0.199,0.117,0.926,-17.334,-4.150,0.488
-0.223,0.121,0.928,-14.709,-5.554,-0.549
-0.230,0.109,0.916,-14.404,-6.287,-1.831
-0.260,0.099,0.891,-15.930,-3.113,-4.395
-0.268,0.100,0.904,-18.555,-1.831,-4.944
-0.293,0.100,0.934,-19.653,-0.732,-6.470
-0.296,0.100,0.944,-18.921,-2.380,-5.188
-0.309,0.105,0.968,-17.456,-3.052,-3.357
-0.323,0.113,0.969,-15.747,-0.793,-3.357
-0.324,0.114,0.969,-15.686,-0.183,-3.723
-0.313,0.114,0.955,-14.282,0.610,-2.747
-0.326,0.097,0.949,-13.000,0.488,-1.831
-0.315,0.102,0.941,-14.771,-3.113,-1.221
-0.309,0.108,0.939,-14.709,-4.395,-0.122
-0.282,0.113,0.942,-16.724,-9.155,-1.343
-0.279,0.112,0.950,-14.709,-8.484,-0.671
-0.286,0.106,0.960,-15.015,-8.484,-1.099
-0.310,0.098,0.953,-15.564,-8.667,-2.625
-0.315,0.101,0.964,-17.761,-8.240,-2.441
-0.315,0.093,0.986,-19.592,-7.385,-2.563
-0.313,0.101,0.995,-18.066,-7.812,-2.380
-0.318,0.106,0.995,-14.832,-8.667,-1.770
-0.314,0.105,0.992,-14.587,-8.545,-1.892
-0.314,0.095,0.973,-15.076,-7.935,-1.221
-0.285,0.104,0.957,-16.174,-6.470,-0.488
-0.279,0.107,0.968,-15.564,-5.920,-1.587
-0.272,0.116,0.986,-15.564,-7.080,-2.441
-0.282,0.107,0.977,-16.174,-8.179,-3.235
-0.283,0.094,0.970,-15.381,-9.583,-2.502
-0.283,0.086,0.984,-16.235,-10.620,-2.380
-0.278,0.094,0.988,-17.822,-9.827,-3.906
-0.290,0.101,1.025,-17.639,-8.850,-3.906
-0.290,0.108,1.035,-17.334,-8.667,-4.272
-0.306,0.093,1.019,-15.076,-8.850,-3.235
-0.281,0.104,1.014,-14.099,-9.094,-1.404
-0.268,0.090,0.985,-14.038,-9.521,-1.587
-0.267,0.097,0.980,-11.902,-8.972,-1.709
-0.277,0.091,0.976,-14.709,-9.644,-2.502
-0.269,0.095,0.981,-15.991,-9.460,-2.869
-0.262,0.098,0.987,-17.090,-9.094,-2.441
-0.276,0.093,1.000,-15.869,-7.935,-3.784
-0.281,0.090,1.013,-13.489,-7.996,-3.845
-0.291,0.081,0.995,-15.808,-7.812,-5.005
-0.292,0.082,0.991,-16.418,-8.179,-2.991
-0.270,0.108,0.994,-17.029,-8.850,-1.038
-0.273,0.108,0.993,-17.029,-9.094,-1.709
-0.272,0.100,0.990,-16.968,-8.606,-3.174
-0.281,0.097,0.968,-16.174,-7.996,-3.113
-0.286,0.085,0.971,-16.418,-9.338,-2.686

0.491,0.087,-1.951,-247.742,-96.436,-55.786
0.517,0.017,-1.955,-269.958,-102.295,-61.890
0.548,-0.064,-1.866,-321.899,-101.501,-84.290
