aX,aY,aZ,gX,gY,gZ
-0.206,-0.064,0.282,-80.322,21.667,138.306
-0.134,-0.037,0.324,-85.022,18.066,140.564
-0.029,0.024,0.399,-92.041,12.390,127.502
-0.028,0.029,0.442,-92.712,10.986,118.774
-0.009,0.057,0.491,-94.604,6.531,107.056
0.026,0.099,0.568,-95.398,3.479,100.037
0.028,0.092,0.588,-93.567,1.404,93.384
0.016,0.043,0.586,-94.055,-8.118,88.806
0.021,0.049,0.594,-92.041,-13.977,92.285
0.032,0.014,0.605,-93.994,-27.405,97.107
0.034,0.014,0.617,-94.055,-32.959,98.572
0.065,0.033,0.644,-91.736,-36.621,101.440
0.123,0.040,0.672,-89.722,-40.955,103.516
0.157,0.056,0.679,-87.219,-42.297,105.103
0.264,0.099,0.658,-82.520,-42.053,104.553
0.325,0.113,0.635,-80.811,-41.016,100.708
0.405,0.060,0.607,-79.895,-36.377,83.679
0.411,0.043,0.613,-81.787,-35.095,76.965

0.739,-0.515,1.270,-130.920,23.193,-83.557
0.672,-0.556,1.380,-133.728,12.451,-90.454
0.486,-0.446,1.657,-134.277,-8.118,-92.957
0.399,-0.353,1.770,-131.470,-16.968,-86.182
0.310,-0.217,1.853,-124.207,-28.076,-74.646
0.319,-0.185,1.829,-117.065,-27.588,-68.848
0.291,-0.229,1.707,-101.746,-18.799,-63.599
0.292,-0.276,1.612,-91.675,-14.587,-63.599
0.412,-0.462,1.348,-76.660,-8.179,-57.373
0.494,-0.525,1.256,-75.989,-6.042,-52.917
0.543,-0.583,1.134,-79.468,-5.310,-53.833
0.684,-0.604,1.097,-91.736,-7.385,-57.373
0.741,-0.673,1.098,-98.877,-8.972,-71.045
0.863,-0.584,1.208,-113.586,-61.646,-92.346
0.789,-0.550,1.306,-109.741,-52.063,-99.060
0.640,-0.572,1.403,-103.821,-42.725,-113.892
0.507,-0.569,1.430,-98.755,-39.978,-120.667
0.442,-0.583,1.401,-95.703,-35.645,-112.854
0.445,-0.591,1.387,-94.910,-31.311,-108.948
0.474,-0.606,1.345,-89.294,-16.846,-112.488
0.523,-0.629,1.348,-86.853,-12.512,-117.432
0.588,-0.687,1.413,-76.843,-2.014,-130.371
0.597,-0.706,1.438,-73.853,1.343,-134.155
0.598,-0.686,1.531,-68.237,-2.625,-135.132
0.595,-0.634,1.571,-63.293,-9.094,-136.597
0.499,-0.619,1.614,-52.185,-27.649,-142.334
0.458,-0.608,1.629,-45.776,-32.532,-142.456
0.411,-0.571,1.621,-37.781,-34.485,-140.137
0.398,-0.585,1.579,-30.457,-33.936,-142.639
0.365,-0.562,1.478,-22.278,-28.564,-156.189
0.392,-0.560,1.443,-18.250,-21.667,-159.119
