aX,aY,aZ,gX,gY,gZ
-0.305,-0.103,0.934,-16.113,-1.587,-4.944
-0.304,-0.101,0.933,-16.418,-3.906,-5.432
-0.302,-0.110,0.939,-16.174,-4.578,-4.822
-0.303,-0.112,0.960,-16.663,-4.822,-3.784
-0.308,-0.115,0.972,-16.541,-4.150,-4.578
-0.315,-0.122,0.960,-14.282,-4.211,-3.357
-0.335,-0.131,0.956,-14.771,-4.272,-3.540
-0.329,-0.124,0.941,-14.343,-6.409,-4.028
-0.326,-0.118,0.945,-14.771,-7.202,-3.906
-0.320,-0.132,0.936,-15.198,-7.446,-4.700
-0.321,-0.137,0.920,-13.489,-7.935,-3.052

1.010,-1.667,0.062,-186.584,-171.143,56.885
0.977,-1.884,0.071,-193.604,-184.143,41.687
0.791,-2.218,0.341,-196.655,-98.694,28.687
0.641,-2.241,0.545,-197.815,-27.466,18.005
0.342,-2.188,1.069,-199.524,95.764,-8.362
0.156,-2.070,1.279,-191.345,135.437,-20.935
-0.575,-2.022,1.411,-177.307,180.786,-32.654
-0.755,-1.837,1.746,-179.810,192.261,-24.780
-0.848,-1.367,2.261,-168.396,196.472,-10.803
-0.768,-1.107,2.486,-151.917,185.730,1.038
-0.337,-0.817,2.479,-111.145,78.857,29.297
-0.032,-0.781,2.365,-78.918,34.973,39.917
0.333,-0.679,2.238,-21.179,-14.648,26.855
0.434,-0.739,2.100,1.343,-21.118,9.216
0.426,-0.714,1.932,29.236,-0.732,1.648
0.007,-0.613,1.622,66.040,38.940,-32.654
-0.203,-0.524,1.392,73.792,18.677,-45.044
-0.543,-0.409,0.902,79.773,-33.813,-50.964
-0.650,-0.388,0.696,75.378,-48.950,-48.096
-0.756,-0.245,0.459,59.265,-44.922,-36.438
-0.769,-0.199,0.422,50.964,-38.269,-28.687
-0.664,-0.138,0.490,31.433,-24.780,-16.663
-0.595,-0.108,0.550,22.888,-16.418,-12.451
-0.473,-0.126,0.644,11.780,-3.967,-7.935
-0.408,-0.156,0.671,7.935,-3.235,-5.737
-0.379,-0.180,0.722,2.258,-3.784,-7.263
-0.381,-0.175,0.850,-6.775,-8.667,-8.118
-0.372,-0.155,0.883,-10.498,-13.916,-8.545
-0.389,-0.131,0.965,-16.968,-25.146,-8.301
-0.395,-0.134,0.993,-17.151,-29.968,-7.507
-0.424,-0.118,1.006,-19.348,-31.555,-4.272
-0.415,-0.107,1.005,-18.188,-26.245,1.038
-0.331,-0.101,1.010,-18.066,-18.250,8.179
-0.283,-0.111,1.030,-17.761,-11.719,10.559
-0.197,-0.097,1.071,-18.188,-2.991,9.949
-0.163,-0.101,1.094,-18.555,0.061,9.277
-0.139,-0.092,1.104,-20.203,-1.038,6.836
-0.103,-0.077,1.102,-20.447,-10.315,4.211
-0.108,-0.083,1.103,-21.729,-13.123,1.343
-0.147,-0.074,1.110,-23.132,-13.672,-1.465
-0.161,-0.078,1.111,-22.644,-9.583,-1.648
-0.177,-0.082,1.121,-21.545,-0.366,-2.136
-0.177,-0.084,1.136,-19.165,5.493,-1.160
-0.163,-0.094,1.151,-14.160,7.202,-0.061
-0.136,-0.095,1.156,-11.108,7.263,1.160
