aX,aY,aZ,gX,gY,gZ
0.537,-0.033,0.779,32.288,13.123,9.644
0.552,-0.045,0.771,31.128,18.860,10.437
0.614,-0.072,0.738,28.809,31.067,9.827
0.639,-0.081,0.726,28.381,36.804,9.216
0.671,-0.098,0.726,27.649,41.382,8.667
0.749,-0.093,0.699,24.414,44.678,3.601
0.785,-0.075,0.699,22.644,44.373,0.427
0.821,-0.012,0.743,20.203,41.443,-11.536
0.797,0.012,0.748,20.508,39.124,-17.944
0.758,0.018,0.728,20.264,35.156,-25.269
0.666,0.030,0.695,19.531,29.846,-34.790
0.632,0.036,0.683,17.212,30.701,-40.833
0.538,0.039,0.649,14.893,31.433,-47.668
0.483,0.028,0.654,12.878,32.776,-50.659
0.436,0.026,0.642,12.207,32.166,-51.697
0.357,0.054,0.627,8.545,31.372,-51.392
0.334,0.087,0.631,8.240,31.494,-50.720
0.327,0.114,0.625,5.615,31.433,-51.270
0.337,0.167,0.634,3.723,31.677,-50.354
0.372,0.184,0.619,5.676,31.616,-50.293
0.390,0.201,0.565,-0.488,35.461,-58.838
0.378,0.210,0.531,-3.418,36.194,-62.073
0.364,0.202,0.497,-5.005,38.025,-61.707
0.324,0.198,0.429,-12.756,36.438,-67.627
0.308,0.213,0.428,-19.714,36.987,-70.190
0.257,0.192,0.506,-30.823,39.368,-74.890
0.226,0.175,0.561,-35.339,40.405,-76.660
0.200,0.159,0.633,-42.236,38.391,-82.275
0.105,0.116,0.758,-43.762,34.485,-84.839
0.050,0.100,0.812,-42.603,31.738,-86.731
-0.020,0.073,0.859,-38.818,22.217,-88.562
-0.060,0.078,0.904,-36.438,21.545,-87.585
-0.167,0.043,0.955,-30.579,19.653,-83.252
-0.192,0.053,0.932,-27.283,17.334,-79.102
-0.206,0.052,0.901,-22.278,16.907,-69.885
-0.205,0.058,0.881,-19.958,19.592,-67.261
-0.198,0.075,0.890,-19.653,23.743,-62.561
-0.164,0.061,0.889,-18.860,23.315,-63.477
-0.149,0.046,0.886,-17.517,21.240,-61.646
-0.167,0.038,0.895,-18.250,16.052,-60.852
-0.191,0.037,0.912,-18.921,10.742,-62.317
-0.235,0.032,0.904,-17.029,3.052,-62.805
-0.278,0.043,0.909,-16.846,-0.671,-63.232
-0.308,0.058,0.931,-17.090,-7.935,-57.434
-0.303,0.086,0.949,-17.334,-8.301,-55.237
-0.292,0.112,0.977,-19.043,-5.981,-50.964
-0.275,0.124,0.989,-19.348,-4.089,-48.828
-0.259,0.100,0.992,-18.555,-1.770,-46.997
-0.277,0.086,0.990,-18.127,-1.099,-45.288
-0.316,0.067,0.986,-18.433,-1.770,-44.556
-0.354,0.051,0.998,-18.799,-9.460,-41.077
-0.349,0.043,0.998,-18.677,-13.062,-40.405
-0.347,0.064,1.020,-20.996,-18.188,-31.555
-0.325,0.086,1.044,-22.827,-19.104,-29.297
-0.280,0.116,1.047,-22.095,-15.869,-25.879
-0.271,0.116,1.045,-22.400,-12.817,-24.658
-0.242,0.117,1.016,-23.010,-9.155,-21.057
-0.240,0.111,1.022,-24.414,-8.057,-21.240
-0.241,0.079,1.028,-26.184,-7.629,-18.372
-0.245,0.085,1.056,-28.503,-9.033,-16.602
-0.236,0.075,1.092,-29.175,-11.353,-13.306
-0.235,0.074,1.098,-29.053,-12.146,-13.000
-0.209,0.090,1.110,-27.832,-13.428,-8.850
-0.191,0.106,1.110,-25.696,-14.221,-5.737

-1.362,-0.678,0.791,-135.864,-110.901,-86.365
-1.430,-0.662,1.073,-140.930,-123.108,-71.777
-1.386,-0.626,1.422,-130.371,-145.630,-46.753
-1.360,-0.594,1.553,-122.253,-153.137,-37.231
-1.270,-0.542,1.598,-101.135,-170.654,-13.489
