aX,aY,aZ,gX,gY,gZ
-0.216,0.129,0.073,36.011,196.045,25.879
-0.197,0.186,0.027,36.621,193.115,26.733
-0.327,0.198,0.087,37.537,172.913,23.743
-0.391,0.224,0.056,44.006,166.565,28.442
-0.386,0.267,-0.008,45.898,153.748,39.490
-0.335,0.323,-0.055,44.861,146.118,43.152
-0.294,0.363,-0.088,45.898,126.221,46.204
-0.243,0.334,-0.024,43.945,115.356,46.814
-0.183,0.351,-0.014,47.668,114.868,52.551
-0.125,0.406,-0.147,59.998,114.014,56.396
-0.133,0.406,-0.190,62.439,105.225,54.565
-0.145,0.410,-0.179,73.792,91.003,51.392
-0.181,0.454,-0.223,80.139,86.182,49.500
-0.311,0.500,-0.347,87.158,71.472,43.640
-0.363,0.506,-0.365,86.304,62.317,41.748
-0.546,0.572,-0.364,86.731,51.941,47.241
-0.565,0.644,-0.396,84.045,52.307,57.495
-0.505,0.701,-0.452,80.566,53.833,70.618
-0.317,0.758,-0.463,67.688,50.659,88.623
-0.230,0.779,-0.439,62.317,48.584,96.558
-0.032,0.698,-0.250,56.152,40.955,103.455
0.078,0.666,-0.212,59.814,43.457,105.286
0.169,0.727,-0.349,67.688,41.016,92.285
0.134,0.724,-0.340,68.298,26.794,77.576
0.033,0.663,-0.263,67.200,8.057,59.387
-0.306,0.777,-0.221,83.069,-20.325,37.476
-0.431,0.856,-0.266,91.431,-29.236,37.231
-0.389,1.034,-0.378,97.839,-35.706,59.387
-0.204,1.117,-0.430,100.281,-32.593,75.623
0.169,1.239,-0.549,99.182,-21.301,96.497
0.321,1.254,-0.576,94.177,-16.541,98.572
0.394,1.304,-0.593,90.637,-9.644,95.581
0.401,1.229,-0.530,83.679,-13.855,73.853
0.357,1.210,-0.583,82.031,-19.409,59.753
0.208,1.093,-0.504,78.247,-43.945,28.503
0.088,1.022,-0.460,79.041,-56.030,14.771
-0.089,0.960,-0.420,86.975,-75.073,-4.150
-0.438,0.910,-0.450,93.201,-83.984,-7.507
-0.576,0.986,-0.499,97.229,-91.309,-3.601
-0.432,1.176,-0.747,103.149,-82.031,36.987
-0.097,1.335,-0.983,101.257,-62.317,62.927
0.420,1.497,-1.135,78.979,-44.678,74.036
0.479,1.492,-1.069,64.819,-48.462,59.082
0.279,1.385,-0.745,42.542,-60.120,28.259
0.141,1.348,-0.637,40.344,-64.209,18.066
-0.111,1.292,-0.614,41.565,-76.538,5.249
-0.219,1.294,-0.638,43.274,-83.069,2.197

-0.524,1.260,-0.738,40.771,-104.004,1.404
-0.545,1.282,-0.846,38.696,-104.004,7.874
-0.618,1.278,-0.903,25.940,-103.394,25.757
-0.750,1.318,-0.842,19.714,-100.281,37.903
-0.700,1.347,-0.849,14.099,-102.478,49.561
-0.539,1.295,-0.715,2.686,-118.408,69.214
-0.459,1.261,-0.660,-1.099,-123.230,75.195
-0.275,1.223,-0.646,-5.310,-140.869,82.336
-0.218,1.220,-0.633,-5.005,-152.466,80.627
-0.120,1.181,-0.670,-3.723,-173.462,75.012
-0.114,1.178,-0.685,-2.747,-177.917,72.876
-0.131,1.200,-0.804,-3.418,-193.665,68.054
-0.167,1.206,-0.794,-6.958,-202.087,66.956
-0.131,1.336,-0.912,-13.550,-210.327,79.468
0.028,1.375,-0.938,-22.034,-207.581,93.933
0.581,1.452,-1.050,-41.443,-189.941,118.225
0.851,1.460,-1.051,-53.223,-182.129,116.760
0.992,1.470,-0.896,-76.355,-185.242,84.839
0.799,1.401,-0.706,-81.909,-191.162,64.880
0.581,1.322,-0.569,-83.618,-191.406,44.189
0.511,1.281,-0.565,-81.604,-190.125,39.978
0.392,1.302,-0.729,-78.308,-185.303,34.912
0.332,1.289,-0.757,-82.764,-188.782,31.067
0.294,1.298,-0.755,-89.478,-188.721,34.363
0.295,1.328,-0.796,-93.506,-185.120,38.147
0.398,1.406,-0.823,-107.361,-179.199,49.866
0.553,1.391,-0.759,-117.310,-170.471,58.167
0.825,1.373,-0.678,-127.991,-150.330,63.599
0.855,1.444,-0.674,-132.507,-147.400,57.739
0.980,1.398,-0.573,-140.564,-140.442,53.162
1.010,1.465,-0.619,-141.541,-128.601,51.270
1.038,1.477,-0.698,-147.583,-110.291,50.720
1.054,1.501,-0.762,-151.794,-93.018,53.284
1.176,1.471,-0.742,-170.105,-62.317,54.749
1.203,1.407,-0.680,-178.101,-48.950,50.659
1.136,1.283,-0.526,-187.256,-30.457,31.616
1.029,1.230,-0.435,-187.866,-25.330,20.935
0.791,1.174,-0.327,-183.777,-15.442,4.578
0.701,1.140,-0.308,-181.213,-17.090,-2.441
0.667,1.093,-0.275,-170.044,-10.254,-4.944
0.688,1.077,-0.329,-166.138,-11.719,-6.592
0.695,1.037,-0.335,-158.081,-12.939,-12.451
0.695,1.007,-0.336,-153.503,-12.939,-13.672
0.722,0.999,-0.348,-148.865,-0.488,-13.855
0.720,0.928,-0.316,-148.010,-0.610,-16.663
0.729,0.890,-0.268,-145.264,0.366,-22.034
0.587,0.903,-0.155,-138.306,-1.953,-34.241
