aX,aY,aZ,gX,gY,gZ
-0.792,0.924,-0.145,-71.472,2.075,-67.383
-0.918,0.927,-0.209,-65.857,4.089,-60.730
-0.911,0.927,-0.340,-64.819,4.211,-54.138
-0.916,0.933,-0.527,-73.608,-2.686,-44.250
-0.944,0.916,-0.581,-79.651,-4.089,-38.147
-0.927,0.863,-0.550,-97.168,5.127,-23.132
-0.921,0.842,-0.427,-102.966,8.911,-16.052
-0.900,0.776,-0.186,-107.056,16.663,-3.479
-0.898,0.777,-0.109,-104.004,18.555,2.747
-0.821,0.733,-0.001,-95.459,10.132,9.460
-0.798,0.726,0.050,-87.219,-0.488,8.728
-0.784,0.729,0.092,-71.167,-19.897,6.165
-0.753,0.722,0.062,-62.073,-25.635,7.324
-0.732,0.755,-0.049,-57.739,-28.137,7.202
-0.641,0.796,-0.261,-57.922,-36.316,9.399
-0.634,0.797,-0.252,-64.453,-40.100,12.085
-0.605,0.790,-0.193,-71.594,-33.936,18.799
-0.595,0.801,-0.178,-74.829,-28.320,22.644
-0.598,0.790,-0.117,-74.402,-23.193,27.283
-0.570,0.802,-0.103,-73.792,-23.560,29.236
-0.533,0.750,-0.081,-72.754,-28.870,30.212
-0.520,0.745,-0.053,-71.228,-35.156,28.809
-0.545,0.746,0.001,-63.110,-36.560,28.137
-0.510,0.736,-0.039,-60.486,-42.908,28.198
-0.459,0.747,-0.023,-56.519,-51.575,28.687
-0.461,0.768,-0.000,-56.519,-54.199,28.198
-0.486,0.784,-0.003,-53.223,-51.575,31.677
-0.476,0.794,-0.046,-51.331,-50.598,34.119
-0.447,0.801,-0.049,-52.490,-48.584,36.804
-0.429,0.761,-0.023,-52.673,-58.105,35.095
-0.437,0.743,-0.016,-49.316,-64.087,36.133
-0.436,0.744,-0.017,-46.753,-64.392,37.781
-0.450,0.781,-0.075,-41.748,-58.411,40.161
-0.404,0.799,-0.085,-40.894,-64.331,40.649
-0.433,0.787,-0.073,-41.626,-66.345,40.161
-0.421,0.770,0.001,-40.039,-69.275,41.992
-0.424,0.756,0.040,-38.086,-69.885,43.457
-0.488,0.784,-0.032,-27.832,-59.998,44.067
-0.447,0.746,-0.051,-30.884,-69.153,47.485
-0.394,0.745,-0.044,-33.691,-74.280,50.476
-0.364,0.739,-0.035,-31.921,-76.050,52.734
-0.333,0.763,-0.027,-30.457,-70.740,58.899
-0.272,0.773,-0.056,-30.701,-77.576,61.279
-0.190,0.786,-0.059,-31.555,-77.942,63.477
-0.170,0.793,-0.068,-29.724,-80.017,62.378
-0.151,0.777,-0.075,-22.766,-83.496,56.702

1.080,0.884,-0.639,35.461,18.616,37.781
1.011,0.855,-0.518,20.203,9.155,18.616
0.885,0.811,-0.343,8.179,-4.578,-1.343
0.669,0.773,-0.155,4.639,-20.874,-26.794
0.595,0.718,-0.014,4.333,-35.583,-36.011
0.418,0.619,0.146,15.320,-61.279,-61.096
0.225,0.627,0.125,23.804,-72.449,-73.364
0.045,0.602,0.131,29.846,-83.984,-80.688
-0.399,0.600,0.188,41.809,-89.233,-73.669
-0.513,0.677,0.115,50.232,-68.542,-54.016
-0.124,0.789,-0.206,55.420,-23.743,-2.014
0.101,0.809,-0.305,52.673,-13.489,10.864
0.418,0.834,-0.415,40.222,-12.634,10.986
0.521,0.799,-0.274,31.250,-27.710,3.662
0.538,0.733,-0.134,31.311,-41.992,-12.390
0.477,0.696,-0.019,35.461,-34.729,-15.686
0.441,0.673,0.025,38.879,-33.325,-18.433
0.376,0.604,0.076,55.786,-37.598,-24.597
0.331,0.642,0.068,65.735,-41.809,-28.748
0.335,0.772,-0.074,82.947,-46.753,-27.405
0.344,0.872,-0.223,88.379,-40.466,-23.560
0.501,0.889,-0.362,83.130,-12.390,-12.756
0.483,0.959,-0.360,78.003,-0.916,-13.000
0.473,0.936,-0.331,72.693,14.282,-23.071
0.395,0.888,-0.241,73.120,10.376,-27.344
0.355,0.852,-0.266,74.463,6.287,-29.968
0.327,0.818,-0.238,81.787,3.479,-36.133
0.246,0.818,-0.244,84.717,-1.465,-37.292
0.308,0.888,-0.366,93.994,-5.127,-30.884
0.400,0.926,-0.437,95.581,-4.150,-25.146
0.516,1.024,-0.519,94.421,5.981,-18.799
0.760,1.079,-0.590,84.778,38.940,-10.132
0.856,1.087,-0.589,79.346,52.917,-10.315
0.847,1.008,-0.435,72.571,59.387,-23.560
0.788,0.986,-0.389,72.754,56.824,-31.250
0.742,0.954,-0.384,74.707,49.683,-43.396
0.690,0.916,-0.411,78.003,44.556,-50.293
0.651,0.892,-0.414,82.397,40.527,-56.580
0.551,0.885,-0.457,87.830,35.156,-69.824
0.464,0.887,-0.498,92.224,24.902,-77.820
0.323,0.972,-0.672,92.041,22.156,-81.421
0.346,1.009,-0.717,88.135,26.489,-77.759
0.316,1.029,-0.777,77.942,44.434,-64.514
0.351,1.134,-0.919,68.604,57.617,-56.091
0.436,1.212,-0.948,60.608,64.087,-51.453
0.472,1.124,-0.790,45.410,60.364,-51.086
0.416,1.137,-0.774,44.678,64.453,-50.842
0.472,1.131,-0.760,41.748,69.885,-52.490
0.469,1.147,-0.771,43.457,59.021,-59.326
0.423,1.128,-0.749,46.204,42.419,-74.707
0.446,1.102,-0.703,48.096,41.321,-79.529
0.485,1.352,-0.753,51.636,36.255,-89.050
0.279,1.155,-0.781,49.133,20.081,-105.042
0.312,1.251,-0.979,47.974,30.151,-103.455
0.357,1.195,-0.938,31.128,62.439,-93.994
0.376,1.197,-0.902,22.522,69.946,-93.140
0.439,1.208,-0.906,16.052,90.942,-91.797
0.468,1.163,-0.738,11.902,90.515,-97.229
0.485,1.135,-0.701,11.108,93.445,-102.966
0.453,1.079,-0.661,10.986,84.412,-118.286
0.436,1.044,-0.623,12.207,76.843,-129.333
0.270,1.012,-0.637,16.052,55.359,-152.527
0.106,1.001,-0.698,16.174,48.157,-158.142
-0.113,1.027,-0.726,10.925,45.105,-156.006
-0.136,1.065,-0.748,5.432,50.354,-148.254
-0.078,1.076,-0.844,-4.822,70.557,-130.981
-0.051,1.104,-0.873,-11.780,73.914,-124.878
-0.092,1.059,-0.830,-24.414,76.233,-118.835
-0.080,1.051,-0.783,-31.738,75.378,-115.784
-0.159,0.996,-0.670,-40.771,71.289,-116.333
-0.164,0.969,-0.547,-41.931,66.772,-116.943
-0.188,0.911,-0.427,-41.687,51.147,-118.225
-0.179,0.912,-0.476,-38.452,43.457,-120.728
-0.280,0.944,-0.582,-42.908,33.203,-118.103
-0.328,0.954,-0.665,-45.654,41.016,-110.168
-0.327,0.965,-0.719,-63.171,69.519,-86.548
-0.362,0.978,-0.702,-69.458,75.928,-78.125
-0.396,0.959,-0.673,-73.364,84.106,-72.021
-0.386,0.965,-0.642,-70.129,81.421,-72.205
-0.405,0.977,-0.557,-66.528,70.313,-72.449
-0.437,0.962,-0.557,-61.401,64.026,-74.036
-0.430,1.010,-0.569,-57.190,46.875,-77.454
-0.442,1.034,-0.618,-57.800,36.743,-78.735
-0.265,1.056,-0.819,-67.444,33.569,-78.308
-0.211,1.019,-0.801,-76.782,33.447,-75.012
-0.262,0.988,-0.782,-88.440,55.420,-78.857
-0.301,1.034,-0.776,-94.177,63.904,-77.942
-0.477,0.998,-0.717,-103.577,65.674,-73.669
-0.493,0.928,-0.500,-111.084,73.486,-59.631
-0.552,0.925,-0.430,-106.201,79.407,-48.523
-0.601,0.883,-0.285,-100.952,77.026,-45.593
-0.604,0.920,-0.279,-85.083,64.941,-40.466
-0.491,0.941,-0.322,-79.224,57.861,-40.039
-0.452,0.942,-0.396,-73.242,51.880,-39.734
-0.390,1.025,-0.586,-71.533,40.771,-43.213
-0.347,1.052,-0.709,-75.134,33.630,-44.922
-0.304,1.018,-0.703,-92.590,29.968,-51.147
-0.423,1.006,-0.591,-97.107,30.518,-53.650
-0.594,0.939,-0.350,-102.600,28.381,-50.964
-0.638,0.918,-0.285,-99.243,26.733,-46.936
-0.690,0.887,-0.218,-88.074,15.442,-44.128
-0.715,0.897,-0.230,-81.055,8.545,-42.236
-0.667,0.891,-0.351,-70.862,-0.610,-36.377
-0.646,0.888,-0.394,-70.068,-4.456,-35.645
-0.639,0.926,-0.479,-74.219,-4.517,-30.090
-0.630,0.920,-0.446,-78.796,-3.967,-27.405
-0.719,0.892,-0.329,-81.665,0.122,-22.095
-0.714,0.903,-0.271,-81.909,2.686,-16.785
-0.670,0.865,-0.208,-76.233,2.686,-8.545
-0.675,0.882,-0.212,-70.984,-0.305,-5.737
-0.651,0.865,-0.223,-61.401,-13.428,-1.831
-0.654,0.849,-0.203,-56.580,-21.606,-0.916
-0.651,0.856,-0.263,-47.424,-29.846,1.953
-0.634,0.902,-0.412,-45.837,-29.175,2.808
-0.598,0.911,-0.510,-51.514,-29.358,4.089
-0.588,0.827,-0.478,-67.322,-37.537,1.587
-0.599,0.786,-0.367,-72.937,-37.292,-0.427
-0.726,0.733,-0.203,-72.937,-36.438,2.380
-0.769,0.731,-0.158,-69.458,-34.119,4.456

0.941,0.959,-0.651,76.477,-18.921,-8.728
1.072,0.985,-0.675,70.313,-2.563,-10.254
1.104,0.997,-0.655,63.049,16.296,-13.184
1.074,0.987,-0.596,59.265,33.936,-25.085
1.030,0.959,-0.558,58.899,25.574,-35.583
0.891,0.884,-0.466,64.148,10.315,-54.443
0.818,0.858,-0.485,67.322,11.841,-60.852
0.754,0.827,-0.549,69.824,14.648,-69.824
0.711,0.843,-0.563,70.740,5.554,-77.271
0.650,0.853,-0.595,73.242,-3.723,-84.167
0.490,0.843,-0.691,67.566,-14.587,-92.407
0.414,0.835,-0.704,62.988,-11.475,-92.346
0.317,0.839,-0.724,57.434,3.296,-92.957
0.262,0.854,-0.737,54.504,16.663,-82.764
0.126,0.854,-0.828,45.715,36.560,-68.359
0.141,0.932,-0.917,40.039,43.518,-61.890
0.190,0.971,-0.956,33.020,40.222,-59.448
0.295,0.967,-0.877,21.790,32.898,-59.631
0.306,0.996,-0.894,23.560,35.706,-63.416
0.377,1.079,-0.880,24.902,32.471,-78.857
0.347,1.120,-0.958,27.283,30.090,-84.778
0.332,1.158,-1.056,18.005,9.888,-101.990
1.024,1.308,-0.843,16.663,-6.104,-116.516
-0.067,1.110,-1.143,44.128,-21.790,-165.955
0.297,1.274,-1.110,-0.366,4.089,-69.397
-0.182,1.122,-1.009,-20.386,20.081,-100.464
-0.014,1.281,-1.022,-20.142,-6.653,-82.886
0.046,1.212,-0.811,-29.297,-6.592,-71.777
-0.075,1.181,-0.781,-30.579,40.161,-72.266
-0.023,1.285,-0.854,-33.142,54.749,-72.327
0.151,1.245,-0.697,-42.236,28.809,-81.055
0.149,1.256,-0.691,-40.405,14.587,-92.407
0.208,1.270,-0.654,-42.786,0.977,-108.459
0.137,1.263,-0.634,-45.166,-4.395,-115.295
0.354,1.357,-0.719,-49.988,-5.615,-125.854
0.320,1.335,-0.838,-54.321,0.488,-127.197
0.371,1.338,-0.836,-67.322,12.329,-128.235
0.285,1.303,-0.813,-73.792,15.259,-127.808
0.237,1.237,-0.743,-79.407,26.184,-134.766
-0.138,1.192,-0.694,-76.477,30.396,-138.184
-0.276,1.180,-0.692,-85.510,41.809,-118.103
-0.395,1.146,-0.642,-88.562,46.692,-111.206
-0.400,1.159,-0.758,-99.304,52.307,-93.018
-0.323,1.163,-0.730,-108.215,57.190,-86.121
-0.300,1.155,-0.799,-122.314,56.519,-76.111
-0.324,1.094,-0.623,-127.136,61.096,-74.524
-0.370,1.060,-0.497,-126.343,74.829,-63.721
-0.407,1.042,-0.288,-129.456,79.468,-59.631
-0.416,0.984,-0.174,-113.525,85.327,-50.110
-0.445,0.987,-0.173,-105.286,88.318,-49.438
-0.422,0.987,-0.307,-92.834,88.074,-45.837
-0.435,1.000,-0.406,-86.548,85.938,-48.706
-0.530,1.005,-0.570,-83.984,78.979,-55.359
-0.583,0.993,-0.583,-86.853,76.294,-56.824
-0.552,0.994,-0.545,-90.149,81.116,-58.289
-0.621,0.976,-0.389,-91.187,88.196,-52.917
-0.780,0.955,-0.402,-99.304,96.191,-36.316
